peptide,pathology
ARC,Tau
CADM3,Tau
CADM3,Tau
CPLX2_1,Tau
CRTC1,Tau
EFNB1,Tau
EFNB1,Tau
GAPDH,Tau
GRIA2,Tau
GRIK2,Tau
GRIK2,Tau
GRM1,Tau
KCNC1,Tau
MAPK1,Tau
MAPK1,Tau
MAPK1,Tau
NCDN,Tau
NPTX1,Tau
NPTX2,Tau
NPTX2,Tau
NPTX2,Tau
NPTX2,Tau
NSF,Tau
RAB1A,Tau
RAB6B,Tau
RAB6B,Tau
RAB6B,Tau
SEPT5,Tau
SEPT5,Tau
SHANK2,Tau
SHANK2,Tau
SNAP25_1,Tau
SNAP25_2,Tau
SNAP25_3,Tau
SNAP25_4,Tau
SNAP25_6,Tau
STX1A_1,Tau
STX1A_2,Tau
STX1B_1,Tau
STX1B_2,Tau
STX4_1,Tau
STXBP1_1,Tau
STXBP1_2,Tau
STXBP1_3,Tau
STXBP1_4,Tau
STXBP1_6,Tau
SYNGAP1,Tau
SYNPO,Tau
SYNPO,Tau
SYNPO,Tau
SYT12_1,Tau
SYT7_1,Tau
SYT7_2,Tau
VAPB_1,Tau
VAPB_2,Tau
VCP,Tau
VCP,Tau
ARC,Amyloid
CAMK2B,Amyloid
CPLX2_1,Amyloid
DLGAP2,Amyloid
EFNB1,Amyloid
EFNB1,Amyloid
EFNB3,Amyloid
GAPDH,Amyloid
GRIA2,Amyloid
GRM1,Amyloid
MAPK1,Amyloid
MAPK1,Amyloid
MAPK1,Amyloid
NCDN,Amyloid
NEFL,Amyloid
NPTX2,Amyloid
NPTX2,Amyloid
NPTX2,Amyloid
NPTX2,Amyloid
RAB6B,Amyloid
RAB6B,Amyloid
SEPT5,Amyloid
SEPT5,Amyloid
SHANK2,Amyloid
SHANK2,Amyloid
SNAP25_1,Amyloid
SNAP25_2,Amyloid
SNAP25_3,Amyloid
SNAP25_4,Amyloid
SNAP25_6,Amyloid
SNAP25_7,Amyloid
SNCA_1,Amyloid
STX1A_1,Amyloid
STX1A_2,Amyloid
STX1B_1,Amyloid
STX1B_2,Amyloid
STX4_1,Amyloid
STX4_2,Amyloid
STXBP1_1,Amyloid
STXBP1_2,Amyloid
STXBP1_6,Amyloid
SYNGAP1,Amyloid
SYNGAP1,Amyloid
SYNPO,Amyloid
SYNPO,Amyloid
SYNPO,Amyloid
SYT12_1,Amyloid
SYT7_1,Amyloid
SYT7_2,Amyloid
VAPB_2,Amyloid
VCP,Amyloid
NPTX2,CAA
NPTX2,CAA
NPTX2,CAA
SEPT5,CAA
SNAP25_1,CAA
SNAP25_2,CAA
RAB1A,CAA
EFNB1,CAA
NCDN,CAA
SYT12_1,CAA
STX1A_1,CAA
STXBP1_2,CAA
SHANK2,CAA
SNAP25_7,CAA
GABRA5,CAA
MAPK1,CAA
STXBP1_6,CAA
SYT11_1,CAA
VCP,CAA
SEPT5,CAA
DLG2,CAA
STXBP1_1,CAA
VCP,CAA
SNCA_1,CAA
SYNGAP1,CAA
STX1A_2,CAA
GAPDH,CAA
STXBP1_3,CAA
STX16_1,CAA
SYNPO,CAA
SHANK2,CAA
KCNC1,CAA
VAPB_2,CAA
MAPK1,CAA
SYT2_1,CAA
EFNB3,CAA
GRIA1,CAA
SNAP25_6,CAA
SHANK2,LBD
SYNGAP1,LBD
SYNGAP1,LBD
